Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
48.84400248527527	0	-356.9094	191.36404	124.2923	-874.52606	106.23342175066313	28.231022070136138	40050	40050
99.59198832511902	1	-265.64713	154.61212	164.79216	-673.2841	108.14054054054054	29.2063808231848	40012	80062
151.61170101165771	2	-226.6713	135.99054	128.82372	-670.1002	104.80104712041884	53.37379005534575	40034	120096
201.61266422271729	3	-176.58066	99.554924	194.98796	-500.61273	103.23969072164948	53.893717208442055	40057	160153
249.69388937950134	4	-167.4138	86.21588	135.02666	-509.22028	100.1625	29.762326752960696	40065	200218
297.8951098918915	5	-161.33551	84.04268	108.8049	-516.3274	99.23762376237623	28.7059687845306	40092	240310
346.55750370025635	6	-158.12202	84.579056	119.775116	-517.40826	103.35567010309278	32.92677433108094	40102	280412
395.10917019844055	7	-154.67853	87.44259	200.32814	-451.00684	105.95502645502646	30.862908829230864	40051	320463
445.0979595184326	8	-145.58635	85.535255	183.35992	-445.523	111.72980501392757	45.64446565976953	40111	360574
497.3787672519684	9	-124.87202	91.94381	154.9454	-377.934	118.50887573964496	65.1055691037398	40056	400630
548.4520268440247	10	-115.59355	106.98049	242.95467	-432.4428	121.41515151515152	36.2440433660829	40067	440697
604.158412694931	11	-81.55791	107.91413	203.7681	-329.5362	130.84039087947883	81.8623453139674	40168	480865
657.2203683853149	12	-84.328186	109.80055	197.5509	-334.49796	134.49664429530202	48.8142794821013	40080	520945
716.7562355995178	13	-63.22476	113.082985	203.54456	-386.95566	154.61153846153846	114.85729884353513	40199	561144
777.827451467514	14	-54.4497	108.345695	208.11693	-296.90033	160.99196787148594	120.47666347267842	40087	601231
836.4137270450592	15	-33.544197	117.61124	246.32619	-225.48021	171.45299145299145	90.83228611266436	40120	641351
898.4225132465363	16	-45.211575	112.2876	212.5035	-287.57617	193.36231884057972	121.03059512760323	40026	681377
973.7953410148621	17	-35.469616	118.58247	213.14328	-291.79675	246.2883435582822	198.96063438757554	40145	721522
1053.0689964294434	18	-49.817505	115.9741	201.98872	-252.20609	278.65277777777777	225.14724562940174	40126	761648
1134.35445022583	19	-33.938675	125.20323	223.08113	-267.21164	297.05925925925925	243.3380140482222	40103	801751
1220.9864826202393	20	-32.100857	118.07005	226.3923	-254.64447	322.36	252.16399108516666	40295	842046
1309.7416353225708	21	-9.470263	140.90681	231.27318	-355.715	383.91509433962267	242.47209985093787	40695	882741
1408.7960467338562	22	-13.603756	131.28262	214.27176	-345.46255	452.3666666666667	301.5276088335675	40713	923454
1503.20854139328	23	2.028609	131.4353	237.99347	-300.27322	452.314606741573	282.06910443060497	40256	963710
1602.3006052970886	24	37.192635	131.10771	216.6727	-267.96524	510.63291139240505	284.2085246770736	40340	1004050
1697.9664280414581	25	43.08617	124.10316	219.14603	-219.3011	500.15	295.83555820759614	40012	1044062
1790.7095165252686	26	44.103935	130.354	224.6406	-341.19174	471.7647058823529	271.1510387462102	40100	1084162
1893.472258090973	27	64.60816	130.50148	230.11505	-326.9842	544.1216216216217	304.2224449625503	40265	1124427
1987.4092049598694	28	90.36597	119.19766	236.65793	-398.31863	467.56976744186045	261.34965177199155	40211	1164638
2078.6549797058105	29	82.67681	113.47168	204.47469	-222.06085	417.680412371134	225.04847342188452	40515	1205153
2164.5411427021027	30	109.51464	105.62296	245.20865	-347.57996	374.2477064220183	226.91485514519573	40793	1245946
2246.650242090225	31	119.21534	95.57074	250.02034	-153.93494	351.9130434782609	201.35949099179896	40470	1286416
2324.3126883506775	32	103.90645	108.86547	230.17525	-161.47961	312.05426356589146	181.30997527159062	40255	1326671
2402.405777692795	33	133.07848	87.25785	240.47708	-137.45056	294.4485294117647	178.65608680025025	40045	1366716
2474.622130393982	34	122.82321	102.59972	231.37456	-177.86896	270.05298013245033	160.78247359591816	40778	1407494
2545.9916257858276	35	124.00358	95.08918	234.89444	-93.32693	252.9811320754717	140.00069504311358	40224	1447718
2611.5639328956604	36	127.42543	90.59932	238.74124	-101.357735	231.38728323699422	112.63894571869535	40030	1487748
2686.4640731811523	37	131.32072	94.2739	241.51181	-284.03253	259.7597402597403	192.46045487538893	40003	1527751
2753.8909158706665	38	107.89752	105.35062	237.29929	-159.29865	225.6703910614525	132.264200493744	40395	1568146
2818.314912557602	39	116.52639	103.16169	235.10669	-196.01675	214.2673796791444	107.32430315736569	40068	1608214
2882.4866995811462	40	112.71835	102.45798	246.81966	-156.76488	204.70408163265307	112.01792032142087	40122	1648336
2943.2755060195923	41	139.92567	90.29891	240.26402	-127.79161	201.52763819095478	74.11594875089962	40104	1688440
3007.008102416992	42	144.86868	88.516785	235.0675	-109.49063	213.0531914893617	114.20282135178628	40054	1728494
3071.359262228012	43	142.71257	90.51865	248.27939	-162.28732	216.36756756756756	103.87120417250122	40028	1768522
3138.9924437999725	44	137.11493	95.07947	253.90056	-226.93246	236.58823529411765	137.9962739580224	40220	1808742
3205.792602300644	45	147.20213	86.37395	239.61276	-111.97363	238.24404761904762	128.790874095502	40025	1848767
3269.906576395035	46	155.3166	74.22188	236.23846	-90.88345	236.62941176470588	83.34702976256692	40227	1888994
3334.6363310813904	47	166.4989	69.171906	252.36491	-97.77284	239.94610778443115	75.17247692637157	40071	1929065
3397.5070843696594	48	171.46931	60.42756	257.95956	-116.10964	231.69942196531792	53.99295447198507	40084	1969149
3459.3866109848022	49	168.00235	67.010864	248.42473	-101.12542	228.66857142857143	57.21262483767308	40017	2009166
3522.089768886566	50	159.21063	77.68113	243.73122	-98.36695	225.53370786516854	66.08286837746459	40145	2049311
3584.213894367218	51	168.44887	70.96326	242.75954	-315.32745	220.96153846153845	79.15261134888362	40215	2089526
3644.2806010246277	52	172.10065	61.82946	264.2794	-110.5281	209.89005235602093	41.26866965097926	40089	2129615
3705.194997549057	53	166.0996	75.21775	269.02234	-150.06311	194.97087378640776	85.5749210506719	40164	2169779
3773.128905773163	54	162.32263	73.87666	262.1781	-201.70256	216.18279569892474	178.24927852703885	40210	2209989
3840.8575501441956	55	138.85104	95.1629	245.12976	-237.05745	213.71428571428572	181.95066735649507	40392	2250381
3906.0371062755585	56	147.57262	91.07749	249.37625	-321.21826	187.08878504672896	151.2146971712074	40037	2290418
3965.37739777565	57	156.7864	76.6553	253.09216	-127.41019	174.4	101.2940875565452	40112	2330530
4023.9026787281036	58	150.46611	88.82517	251.13385	-183.93323	169.0632911392405	80.40142038107898	40068	2370598
4080.07466506958	59	167.38266	79.69314	251.16492	-169.18622	163.08943089430895	27.403343256386407	40120	2410718
4136.617609739304	60	171.90526	67.58873	253.09906	-126.37161	163.97142857142856	23.88431301426242	40173	2450891
4193.501922130585	61	170.25635	78.73415	271.2945	-237.51285	167.81171548117155	25.258208591292153	40107	2490998
4250.320066213608	62	175.1697	70.30992	262.05933	-325.5376	171.7038626609442	24.531189442546737	40007	2531005
4307.844244480133	63	171.03302	84.00102	250.6557	-344.4245	175.15720524017468	36.873698074054985	40111	2571116
4366.669332265854	64	171.90187	91.49419	262.06665	-253.96109	180.21621621621622	49.920821163949014	40008	2611124
4425.831545591354	65	180.60342	68.689064	262.55026	-224.89592	184.27981651376146	63.18234609985553	40173	2651297
4483.7619869709015	66	185.76909	61.08881	255.11995	-248.4584	181.42986425339367	30.500957843866768	40096	2691393
4552.724469423294	67	179.6512	59.243973	269.34674	-39.92657	222.1049723756906	186.17215649427416	40201	2731594
4627.169800758362	68	160.56969	81.9502	253.6817	-80.981255	254.65189873417722	234.71461063547343	40235	2771829
4705.368230581284	69	161.86464	79.62932	264.31015	-57.12825	299.44029850746267	272.15756277025486	40125	2811954
4787.561892032623	70	158.06169	79.583	254.06169	-71.90339	312.17692307692306	279.4727581435778	40583	2852537
4872.385555267334	71	162.60542	75.07529	269.10278	-45.058582	337.546218487395	303.9903732415145	40168	2892705
4945.204268693924	72	167.57901	75.41314	251.57463	-181.44456	261.54545454545456	208.1343250992821	40278	2932983
5014.880165338516	73	173.31349	76.31498	238.7272	-331.38504	225.05494505494505	163.52120288888455	40960	2973943
5091.277705669403	74	163.64076	81.52508	249.80237	-268.48474	265.11842105263156	242.74539765300895	40298	3014241
5160.778699874878	75	161.13516	83.53152	253.29893	-78.75868	216.3031914893617	178.58941556407123	40665	3054906
5228.022168874741	76	178.57713	66.47631	270.06854	-83.9928	218.03804347826087	179.14362609393913	40119	3095025
5297.888519048691	77	169.64085	75.256165	262.32916	-123.63133	225.01123595505618	197.88031193446557	40052	3135077
5357.063975811005	78	160.17674	83.933655	252.71713	-100.08211	167.48953974895397	80.58503977385023	40030	3175107
5415.360954046249	79	165.73177	76.298615	255.99747	-269.60663	164.89300411522635	73.3785836291471	40069	3215176
5476.676865816116	80	176.31085	58.893867	259.79376	-265.35974	167.18333333333334	111.5236509545048	40124	3255300
5538.698929071426	81	161.36436	77.94272	272.81213	-97.97784	172.07296137339057	124.30979851608681	40093	3295393
5597.291933774948	82	168.9907	72.02205	246.34338	-99.541336	164.6172839506173	95.44725575576389	40002	3335395
5657.167751073837	83	182.32433	55.386417	279.49887	-79.84476	167.97907949790795	98.13330732145553	40147	3375542
5713.0976049900055	84	177.49307	66.597115	258.15613	-255.0812	156.0544747081712	19.404483953115435	40106	3415648
5770.137532949448	85	180.34598	63.166466	263.32153	-98.53039	161.86693548387098	56.564928752737686	40143	3455791
5826.792672157288	86	193.13805	41.07441	246.85739	-39.60685	163.0569105691057	17.6291060202525	40112	3495903
5883.975913524628	87	196.68779	36.58063	264.84152	-71.8587	169.126582278481	20.512238040160952	40083	3535986
5941.674814224243	88	190.0914	60.47247	269.31635	-221.51291	172.98706896551724	30.06838192202961	40133	3576119
6002.974165439606	89	199.2142	45.266567	277.45007	-164.78448	182.17727272727274	80.9993290197696	40079	3616198
